Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Indonesia,,1659,1712,1431,1448,1498,1380,1425.53759,1369.62272,1368.83013,1480.59448,1537.02098,1665.9638,1576.90754,1588.09088,1589.00206,1581.58042,1638.83182,1607.54839,1616.03923,1568.82927,1530.27842,1433.58079,1340.03153,1245.31816,1183.37849,1149.52588,1102.21198,1041.53492,1065.41564,1053.15139,1041.80753,1024.79081,985.17635,926.21414,917.21414
Japan,,39.5,38,44,38.5,46.4,50.55,52.33086,54.90148,59.53452,62.56727,66.58838,77.47666,81.65835,84.54281,81.65123,90.95009,99.97622,101.07275,104.44808,109.48328,112.19908,121.0593,120.17484,116.56882,123.39171,128.45471,129.4195,132.44415,133.98304,137.41647,142.58111,136.52793,127.73544,138.21175,137.21175
Kiribati,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, North",,0,0,0,0,0,0,0.61571,0.61571,0.39609,0.48687,0.62053,0.74104,0.86271,0.92199,0.67223,0.61892,0.31373,0.25407,0.79701,0.55277,0.66887,0.14011,0.14138,0.13847,0.14097,0.12071,0.09299,0.11803,0.12329,0.09011,0.137,0.135,0.135,0.135,0.135
"Korea, South",,0,0,0,0,-12.73343,-9.0202,-8.14502,-7.43458,-9.56385,-11.78581,-9.82855,-20.74299,-23.58882,-23.47615,-23.74542,-22.34239,-15.22846,-0.69445,10.65933,5.51556,14.01131,14.78219,21.91326,14.58882,16.91784,17.24807,21.293,30.03316,41.65887,54.65003,58.47474,59.78946,74.7969,78.883,78.883
Laos,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macau,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,,284,265,307,366,451,451,513.12304,508.20491,550.66328,597.10074,629.56985,656.671,666.52189,660.38636,676.32349,717.55351,730.02571,765.38326,823.13294,793.17348,771.03155,751.13964,794.9174,841.68182,803.933,806.85119,766.61869,756.35222,771.11825,733.65995,734.37827,669.95925,689.83404,669.0411,696.75342
Maldives,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0.197,0.179,0.202,0.381,0.501,0.589,0.55,1.032,2.329,3.208,5.123,5.976,6.9833,9.93451,14.0515,20.84689
Nauru,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,,9,12,17,18,20,23.8,42.83712,44.12655,52.54361,56.71266,58.74794,58.10545,57.58649,60.4851,57.35197,47.96095,46.85299,68.18334,57.06277,52.10762,47.67982,43.94188,40.99065,31.8152,27.93972,27.77375,25.80093,47.59725,65.38594,61.02682,60.74186,52.17398,48.35163,41.77075,49.71322
Niue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,,11.2,11.2,13.2,14.2,18.2,36.2,42.10929,42.07039,45.14428,48.03053,62.0385,63.34105,63.67468,62.54939,57.65096,61.94776,57.6238,59.56035,57.84336,56.57179,56.76279,63.37444,67.93074,64.33019,66.5916,68.12617,69.25662,68.68692,62.60389,59.84647,69.3071,69.468,76.335,85.135,97.96842
Papua New Guinea,,0,0,0,0,0,0,0,0,0,0,0,0.2,53,125.877,110.00005,100.0243,103.38489,80.02505,79.08601,96.62299,70.0853,67.52336,55.15342,50.49315,45.60142,40.30436,44.64739,42.20439,38.18912,34.9878,30.51416,30.158,27.4886,28.25115,34.36622
Philippines,,16,3,9,14,13,10,7.89496,5.54907,5.85065,4.72863,3.82956,2.58945,7.28011,7.7982,6.1846,3.13334,-1.61582,-2.08121,-1.51135,-0.86955,-0.42457,7.83791,10.43273,14.09612,24.30695,25.77116,26.28724,25.3893,27.21825,28.89836,38.59321,32.15984,25.51854,26.524,26.524
Samoa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,,4,4,4,4,4,4,-6.21418,1.05774,-5.696,-6.57233,-6.03659,-1.8867,-4.0466,-0.60021,-3.11353,-1.18541,6.43491,5.43412,3.19044,6.28971,13.09457,14.95604,8.29042,9.70066,9.83605,8.57323,9.96656,11.60831,23.54809,20.57914,21.25,22.5,24.881,24.881,24.881
Solomon Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,,0,0,0,0,0,0,-0.34963,-0.41903,-0.40054,-0.32023,-0.30303,-0.42392,-0.36891,-0.27835,-0.38705,-0.35217,-0.56406,-0.52205,-0.40593,-0.36756,-0.44087,-0.47399,-0.5264,-0.55094,-0.50835,-0.55377,-0.42425,-0.63651,-0.60441,-0.61835,-0.545,-0.326,-0.563,-0.563,-0.563
Taiwan,,9,10,8,8,8,6,-2.20352,0.07149,-2.74946,-5.29971,-5.35028,-6.09741,-4.56903,-4.69727,-4.33106,-6.99617,-6.33711,-7.0481,-7.10035,-7.68378,-6.37495,3.6058,8.36396,7.89501,10.5974,15.71861,20.70844,26.28283,16.13537,28.49159,28.267,26.108,28.123,28.123,28.123
Thailand,,1.3,2.3,12,18,30,53,52.2787,48.63332,53.07634,51.1579,57.81278,60.77483,66.61334,69.70037,80.99158,91.51258,100.11334,132.83775,147.14368,158.0938,181.8532,191.79247,206.42177,261.06521,258.60968,309.53037,318.0202,326.27469,357.73462,389.71638,391.13126,384.23891,406.48203,522.50585,521.72364
Timor-Leste (East Timor),,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,51.90984,94.42466,100.90137,78.48327,100.00753,96.26596,87.49863,83.74247,79.49454,79.25753,76.49041
Tonga,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Pacific Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,,0,0,0,0,0,0,0.8,5,15.00079,32.00931,50.00124,80.00124,106.23124,120.00124,140.50819,173.30261,175.45205,191.26178,245.746,289.8,316,356.79943,339.59452,352.50685,403.28689,386.39178,359.43691,329.93972,309.64726,339.76078,332.36408,323.82129,364.23184,354.34982,316.5279
Wake Island,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,,63987.11645,60602.09873,58097.93062,57927.66004,59563.22523,59156.36327,61533.68142,62099.48654,64394.51774,65518.81085,66435.70569,66339.10029,66552.55343,67101.33496,68636.6486,70304.6313,71986.08463,74219.76049,75680.73385,74838.47766,77725.45342,77672.24712,77100.67161,79606.38939,83402.07504,85099.14824,85134.82759,85130.47475,86514.61706,85703.4039,88099.4853,88532.25966,90466.48737,91014.47152,93201.08775
